Station,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,January,February,March,April,May,June,July,August,September,October,November,December,Mon24,Tue24,Wed24,Thu24,Fri24,Sat24,Sun24,Mon1,Tue1,Wed1,Thu1,Fri1,Sat1,Sun1,Mon2,Tue2,Wed2,Thu2,Fri2,Sat2,Sun2,Mon3,Tue3,Wed3,Thu3,Fri3,Sat3,Sun3,Mon4,Tue4,Wed4,Thu4,Fri4,Sat4,Sun4,Mon5,Tue5,Wed5,Thu5,Fri5,Sat5,Sun5,Mon6,Tue6,Wed6,Thu6,Fri6,Sat6,Sun6,Mon7,Tue7,Wed7,Thu7,Fri7,Sat7,Sun7,Mon8,Tue8,Wed8,Thu8,Fri8,Sat8,Sun8,Mon9,Tue9,Wed9,Thu9,Fri9,Sat9,Sun9,Mon10,Tue10,Wed10,Thu10,Fri10,Sat10,Sun10,Mon11,Tue11,Wed11,Thu11,Fri11,Sat11,Sun11,Mon12,Tue12,Wed12,Thu12,Fri12,Sat12,Sun12,Mon13,Tue13,Wed13,Thu13,Fri13,Sat13,Sun13,Mon14,Tue14,Wed14,Thu14,Fri14,Sat14,Sun14,Mon15,Tue15,Wed15,Thu15,Fri15,Sat15,Sun15,Mon16,Tue16,Wed16,Thu16,Fri16,Sat16,Sun16,Mon17,Tue17,Wed17,Thu17,Fri17,Sat17,Sun17,Mon18,Tue18,Wed18,Thu18,Fri18,Sat18,Sun18,Mon19,Tue19,Wed19,Thu19,Fri19,Sat19,Sun19,Mon20,Tue20,Wed20,Thu20,Fri20,Sat20,Sun20,Mon21,Tue21,Wed21,Thu21,Fri21,Sat21,Sun21,Mon22,Tue22,Wed22,Thu22,Fri22,Sat22,Sun22,Mon23,Tue23,Wed23,Thu23,Fri23,Sat23,Sun23
7251,151,174,176,178,170,93,92,242,297,495,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,0,0,1,1,2,0,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9,6,5,13,6,0,0,5,6,7,8,7,0,1,7,3,2,5,8,4,2,3,6,7,7,4,7,3,13,15,7,9,13,3,4,9,5,7,10,8,7,6,6,13,3,10,8,9,8,3,14,11,4,9,6,10,12,11,19,10,22,24,14,24,28,36,24,22,5,15,19,22,26,21,20,8,8,8,10,9,21,14,4,7,18,13,11,13,3,1,2,7,15,11,9,7,3,2,2,2,7,9,10,3,3,6,3,3,3,3,4,2
7252,127,139,150,148,144,123,132,215,257,491,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,1,0,1,1,1,3,3,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,2,2,0,0,0,4,5,5,4,3,0,0,13,11,20,18,18,2,2,13,18,13,24,17,5,4,3,5,4,2,5,11,7,5,0,4,6,6,6,5,6,7,11,7,4,7,16,5,9,11,8,11,9,13,7,4,3,3,8,13,19,6,10,5,5,14,5,9,11,4,5,13,10,13,9,14,15,20,8,15,8,12,8,7,14,10,11,14,8,5,11,11,18,5,6,11,10,6,7,5,5,2,6,4,15,8,6,6,6,2,4,3,4,3,2,5,1,5,5,2,2,1,4,3
7253,139,148,152,169,170,109,87,250,260,464,0,0,0,0,0,0,0,0,0,3,0,3,0,2,2,2,0,0,0,1,3,3,0,0,0,0,2,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,2,3,3,3,0,0,2,5,3,3,4,1,1,13,13,8,13,9,4,2,16,8,17,23,18,4,2,4,3,3,7,7,15,5,7,4,6,3,10,9,3,6,6,7,9,13,9,16,4,7,7,6,10,7,11,2,2,3,2,8,6,5,5,2,3,6,4,5,10,19,15,16,18,10,7,8,22,33,26,38,23,6,3,15,10,13,9,18,8,7,4,9,10,7,4,6,1,2,11,9,7,11,1,3,4,9,9,4,7,1,3,5,8,5,3,5,4,1,1,1,1,4,1,6,1
7254,55,57,60,78,58,78,58,120,117,207,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1,1,2,2,0,5,1,3,4,9,0,0,4,3,6,14,2,4,1,2,0,4,1,4,8,0,1,2,4,4,0,6,1,1,2,2,8,1,3,1,3,1,3,5,5,5,6,4,2,2,4,2,5,3,3,5,1,6,2,9,9,2,8,4,3,2,6,5,5,5,5,2,3,5,6,2,4,5,1,6,5,3,6,2,5,4,7,4,6,6,1,2,8,1,7,2,4,5,3,3,2,2,6,2,12,4,8,1,1,6,2,0,2,1,7,4,2
7255,76,112,112,124,104,64,58,131,185,334,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,0,0,0,0,1,1,2,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,3,2,4,3,0,0,11,12,12,15,13,0,0,12,18,16,22,21,1,0,11,17,13,12,12,4,1,4,2,3,1,5,7,10,1,2,2,2,2,6,4,1,3,1,2,0,10,2,2,4,3,0,4,7,7,1,1,3,2,2,1,2,2,2,2,2,4,3,3,6,1,5,8,9,5,1,8,16,18,17,4,1,6,5,10,9,10,5,3,7,2,5,8,5,4,5,3,3,10,3,5,3,1,1,1,2,6,7,2,3,3,3,3,3,4,7,0,2,0,1,0,3,1,1,2
7256,53,74,88,78,76,68,49,104,133,249,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,3,9,2,1,7,0,0,5,7,8,7,4,2,0,2,0,0,6,5,0,0,7,3,10,12,5,6,3,1,4,2,4,3,4,3,3,2,1,4,3,8,1,1,3,4,1,5,6,7,1,2,5,2,6,10,2,3,1,4,0,2,6,6,3,2,4,0,1,3,6,6,8,9,11,5,7,5,3,8,4,10,4,7,5,9,10,13,6,13,4,4,2,8,5,6,6,2,3,4,3,4,1,3,1,1,0,1,8,5,0,0,1,0,1,2,0,0,0,0,0,1,1,1,1,0,1
7257,104,164,174,165,121,82,56,211,260,395,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,0,0,0,0,2,0,4,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,5,6,1,1,5,8,5,6,1,0,1,3,5,6,9,6,5,3,2,8,5,5,2,3,0,7,5,5,5,6,3,2,14,15,12,15,10,8,1,4,6,11,7,6,7,5,1,7,6,9,6,12,8,6,9,10,6,6,3,5,8,21,11,19,11,9,9,21,28,25,29,29,4,5,10,20,37,19,12,3,4,5,10,12,7,3,6,3,3,3,9,12,4,3,3,5,12,4,2,3,2,0,5,4,6,3,4,4,1,2,1,4,3,3,4,1
7258,42,43,49,40,48,37,28,64,74,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4,2,3,0,0,0,7,9,10,6,8,0,0,7,8,6,4,3,2,1,0,0,3,1,1,3,1,4,1,2,2,2,8,4,4,2,4,5,6,5,3,1,1,1,1,3,2,1,3,1,0,2,2,2,7,4,1,1,4,3,4,3,2,8,6,8,5,2,2,2,2,2,0,3,5,1,6,1,2,1,4,3,2,0,2,3,1,0,1,2,0,0,3,1,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1
7259,40,37,30,42,41,43,33,59,55,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,0,0,2,0,3,6,1,3,0,4,6,4,11,1,5,2,1,2,1,0,1,6,1,5,1,2,2,2,0,1,1,5,0,4,0,2,5,2,0,2,2,1,3,0,1,5,3,2,3,3,4,3,1,3,3,7,4,6,4,2,1,3,3,8,7,2,4,4,0,1,0,0,6,0,2,0,3,1,3,2,6,0,1,11,0,0,3,1,2,1,3,3,1,0,0,1,5,1,1,1,0,0,0,0,1,0,2,1,1,0,0,1,1,0
7260,200,259,248,248,228,112,110,375,359,671,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,5,4,2,5,3,0,0,26,21,25,21,25,0,4,8,4,7,9,8,4,1,8,9,3,6,7,8,1,4,6,5,9,2,9,9,1,9,4,8,8,11,5,8,7,6,10,10,8,5,10,6,8,12,19,5,8,6,14,15,11,16,12,9,38,35,41,35,30,13,9,42,72,59,58,38,4,17,26,34,35,27,24,11,12,5,17,14,13,17,8,10,7,7,9,9,7,5,9,2,4,10,6,8,1,3,2,6,0,4,4,2,3,0,2,3,3,1,2,2
7261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7262,32,27,33,33,34,29,24,38,73,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,0,0,14,14,3,18,18,3,2,3,2,1,1,0,1,3,0,0,4,0,1,2,6,3,0,1,2,2,1,2,1,0,1,1,1,0,0,0,0,1,0,1,6,2,1,2,1,2,0,1,0,2,2,1,0,0,5,4,1,0,0,0,2,3,0,2,4,0,1,1,1,1,3,0,10,3,2,0,1,0,1,2,0,0,4,1,0,1,2,1,2,0,0,0,1,2,0,0,1,1,1,0,2,0,1,1,1,0,0,0,0,1,0,0
7263,127,130,155,136,108,30,29,168,222,325,0,0,0,0,0,0,0,0,0,1,3,1,1,2,1,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,1,2,5,6,11,7,7,0,1,15,13,17,12,14,2,0,5,2,2,2,0,1,1,2,3,2,2,1,3,2,7,4,6,4,6,0,3,8,1,3,3,4,2,1,3,0,3,3,2,0,1,7,4,5,12,7,4,7,34,26,35,27,30,6,2,16,29,37,33,18,4,1,10,14,11,14,7,0,1,7,7,10,3,5,3,1,4,4,5,4,1,0,0,2,2,3,5,1,1,0,0,0,2,0,0,0,1,1,8,2,0,1,0,2
7264,72,72,87,85,78,53,32,105,121,253,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,12,5,6,9,9,0,0,0,0,1,1,0,0,0,1,2,1,0,1,0,0,6,10,8,9,4,1,1,6,4,7,7,6,3,0,5,6,4,10,9,3,1,1,6,6,6,7,2,1,5,7,5,10,3,5,3,6,7,2,4,3,4,4,3,0,4,3,7,5,5,2,2,5,1,7,5,4,2,3,8,3,4,4,4,8,5,10,13,8,5,5,9,7,6,5,3,1,1,4,2,5,1,1,5,1,0,2,4,1,4,1,0,1,1,4,1,0,3,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0
7265,25,24,27,36,30,26,20,41,44,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,2,0,0,8,2,4,10,7,1,0,8,6,11,8,6,2,1,1,0,0,2,0,1,2,0,3,2,1,0,2,1,0,0,0,1,1,3,2,0,0,0,0,1,5,5,0,0,1,0,3,1,0,2,0,2,2,2,1,1,0,0,2,1,2,3,5,2,3,2,2,2,2,1,3,2,2,2,1,0,0,0,0,0,1,1,4,1,0,4,0,1,0,0,1,0,3,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
7266,5,4,5,4,5,2,3,1,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7267,96,111,89,117,99,81,60,161,180,312,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4,3,4,4,2,0,0,4,2,2,14,2,0,1,9,11,13,11,8,4,0,13,15,11,7,15,5,3,12,5,5,9,14,7,7,9,7,8,7,13,11,6,5,8,6,10,6,7,9,6,8,3,5,7,5,5,5,7,5,5,4,7,8,4,4,5,7,6,8,5,2,10,7,4,6,5,1,7,11,5,6,4,8,2,11,7,6,6,3,4,3,2,6,3,9,4,1,3,0,2,4,7,1,1,3,2,1,0,3,1,4,0,0,2,0,0,0,2,0,0,0,1,2,3,1,2
7268,47,34,36,31,30,15,16,42,57,110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,4,1,3,0,2,1,0,4,2,2,0,0,4,1,2,0,1,0,0,1,1,3,2,2,1,0,1,1,0,2,0,0,1,2,5,0,3,0,0,2,1,4,2,2,1,1,1,2,3,1,1,1,2,1,3,2,2,2,8,4,2,8,2,3,0,4,2,1,7,3,1,3,1,1,0,1,0,1,2,1,2,0,7,3,9,2,2,0,2,1,4,1,5,0,0,1,5,3,1,1,0,0,0,1,0,1,0,4,0,0
7269,105,124,153,139,124,78,60,179,202,402,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,3,6,5,7,5,0,0,3,2,2,7,8,3,1,1,2,3,1,2,2,2,0,2,4,4,2,3,0,4,5,6,5,5,9,3,1,4,6,11,8,4,5,5,3,19,7,8,9,3,17,20,10,19,9,11,12,12,24,18,9,16,11,6,24,14,28,32,25,4,11,13,15,13,15,6,5,10,4,5,9,8,7,4,3,6,7,9,5,5,7,3,5,5,11,4,6,0,0,3,7,6,3,7,0,0,1,1,0,1,0,3,0
7270,63,64,65,76,61,24,27,78,105,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,2,3,4,1,0,0,1,3,5,8,5,0,0,7,7,2,3,3,6,0,1,0,0,1,1,1,0,0,0,0,7,5,0,0,0,1,3,1,1,3,0,4,9,9,7,8,1,1,6,4,1,1,2,3,3,5,3,6,3,5,1,5,8,2,8,5,7,2,3,3,6,9,6,7,0,2,11,8,7,6,3,2,2,5,6,4,7,1,2,2,4,7,5,7,4,0,2,3,5,1,8,2,0,2,2,0,1,1,1,0,0,2,1,1,0,4,0,1
7271,65,72,86,95,78,59,56,155,134,222,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,2,1,1,4,3,1,0,2,1,3,3,2,1,3,10,1,5,3,5,0,3,6,3,8,10,2,4,2,2,3,3,5,0,2,2,3,3,5,6,6,6,6,2,2,0,1,2,7,2,4,3,5,7,4,3,7,4,4,5,2,5,5,1,2,1,0,3,10,5,2,6,5,11,7,8,0,4,2,6,3,6,6,2,2,5,10,7,9,3,8,3,2,9,7,3,5,3,8,4,6,8,7,2,2,3,4,8,11,8,6,1,1,2,4,3,3,6,4,0,1,2,0,6,2,2,2
7272,68,90,92,83,103,79,50,148,132,285,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,2,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,5,0,2,0,2,8,3,7,5,1,0,4,4,8,0,3,8,0,5,11,8,5,5,2,3,8,11,7,15,4,5,2,6,5,9,10,10,6,4,1,4,2,5,4,7,4,5,0,2,3,4,6,1,6,4,3,4,10,1,9,4,1,2,0,5,4,5,8,4,5,4,6,8,4,4,6,3,2,7,4,3,1,2,3,2,6,2,3,1,5,5,4,7,4,2,2,3,10,3,12,5,5,6,4,10,2,5,2,1,1,2,7,6,2,3,3,4,7,1,1,4,1,1,0,4,1,2,1,1,0,0,1,1,0,1,3,0
7273,124,124,142,152,115,70,75,185,212,405,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,3,1,4,2,1,2,0,15,9,15,21,12,2,0,15,20,18,23,14,2,5,11,10,7,10,4,6,6,8,7,6,11,3,3,7,9,3,2,8,4,6,4,6,6,7,11,2,4,7,5,5,5,3,3,5,6,3,0,7,1,7,7,5,6,7,9,6,14,4,4,14,21,39,25,18,6,8,15,15,9,15,12,3,5,9,7,2,6,3,4,6,2,4,4,5,4,3,1,1,4,3,1,4,0,2,1,1,3,2,2,7,0,0,1,0,0,4,1,1
7274,93,117,115,120,93,25,13,121,171,284,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,4,0,0,3,0,2,1,0,0,1,2,8,4,2,1,0,2,2,3,1,3,1,2,5,15,3,13,14,5,1,8,2,4,5,8,1,1,6,8,7,6,2,1,2,9,5,10,11,6,3,0,1,9,5,5,4,0,0,19,13,16,19,20,0,2,30,40,38,37,22,3,1,6,7,12,6,7,1,1,1,2,2,3,1,0,0,1,1,3,1,1,2,0,2,3,2,2,0,0,1,2,1,0,1,1,1,1,0,1,0,1,0,0,0
7275,77,87,108,112,75,84,55,152,154,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,7,1,3,6,5,0,0,10,6,9,10,4,1,1,6,11,8,9,10,4,1,5,5,4,2,5,4,1,2,9,2,4,6,12,7,2,3,2,9,3,11,3,5,6,7,4,8,14,7,5,9,8,13,7,7,6,17,12,21,20,5,13,8,7,14,8,13,8,4,4,4,5,9,6,6,8,5,2,2,9,4,4,5,5,1,2,14,6,2,0,1,1,1,3,2,0,0,3,2,0,1,2,0,0,0
7276,97,132,125,134,101,66,74,155,197,377,0,0,0,0,0,0,0,0,0,0,2,3,3,3,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,9,11,8,16,6,0,0,7,17,6,16,9,5,6,4,7,1,2,2,3,7,4,2,7,5,4,6,2,6,8,5,4,8,2,4,5,2,13,6,5,4,4,7,5,6,4,5,5,12,5,8,5,2,3,7,4,5,7,11,17,8,5,9,14,19,16,23,17,5,5,16,16,15,20,16,5,4,4,12,15,3,4,6,6,7,4,8,6,1,1,3,3,8,4,2,5,0,2,0,1,1,2,0,2,2,0,0,1,2,4,3,1
7277,13,21,25,25,21,8,9,45,39,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,16,15,15,11,0,0,2,2,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,2,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,2,3,1,2,1,0,2,0,0,2,2,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7278,5,7,6,4,10,4,1,2,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,5,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7279,28,23,21,26,21,18,22,41,43,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,3,0,1,1,1,1,3,4,1,0,0,2,0,1,2,2,0,2,1,3,0,0,1,0,1,1,0,0,1,1,2,0,4,1,0,1,2,2,2,3,0,0,0,5,2,2,1,1,1,2,1,3,8,0,1,1,1,1,1,4,5,1,0,1,1,3,0,4,9,10,5,3,0,0,3,6,1,3,1,2,0,2,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7280,81,108,118,123,110,75,60,174,178,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,5,8,2,7,3,2,0,3,6,13,20,6,11,3,23,31,32,32,34,2,2,4,7,9,9,13,5,8,3,4,5,7,5,10,5,3,9,13,5,1,7,4,6,4,4,2,6,2,7,4,3,1,3,1,2,7,2,4,2,5,4,4,3,6,3,2,3,5,5,8,7,8,7,6,6,2,1,6,7,11,7,6,3,2,3,6,8,6,5,3,4,2,1,4,2,6,4,4,1,3,1,4,2,5,1,2,2,2,1,2,4,0,0,0,2,2,5,1,0,0,0,0,1,0,0,0
7281,186,208,237,208,212,134,108,326,334,633,0,0,0,0,0,0,0,0,0,3,0,9,11,10,2,3,4,0,0,1,1,3,2,0,2,1,0,0,2,0,1,0,0,0,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,4,1,2,0,1,17,14,15,19,17,2,1,34,42,32,30,34,9,2,21,21,28,18,22,17,4,6,10,9,3,10,11,17,4,6,8,10,10,9,6,8,8,8,11,13,8,2,8,11,11,17,6,5,7,12,10,12,8,5,8,9,8,5,5,9,9,14,9,9,10,13,13,12,9,11,7,17,21,19,9,5,9,16,13,26,9,18,10,8,12,11,15,11,15,9,3,9,4,9,6,6,0,4,0,11,4,7,5,3,2,3,6,5,3,4,1,4,0,6,2,1,3,5,2
7282,156,208,217,222,210,92,63,294,452,422,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,3,2,1,1,2,0,2,7,3,3,3,1,0,2,1,5,7,3,4,2,2,3,3,5,4,4,1,3,1,7,4,9,2,3,10,13,13,17,20,7,6,3,5,4,9,8,9,11,4,7,7,7,5,8,5,4,9,10,6,9,9,2,11,22,24,24,31,11,5,56,65,65,53,52,8,7,27,24,37,43,30,7,6,14,23,16,19,10,2,3,9,10,7,8,10,5,1,1,6,6,6,5,3,4,1,3,1,6,6,3,2,4,4,3,3,3,3,0
7283,103,141,147,148,141,45,43,220,198,350,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,8,0,0,17,15,20,28,12,0,0,30,46,28,38,34,0,0,13,16,17,23,23,5,1,4,8,8,4,5,4,2,2,2,8,3,1,7,3,1,2,1,1,3,4,5,2,0,4,2,1,2,4,2,0,3,2,1,4,2,1,5,2,5,1,7,10,9,10,12,9,11,0,2,7,8,10,10,11,1,4,4,5,1,3,6,1,1,3,3,8,1,6,2,1,3,3,2,5,4,1,4,1,0,2,2,3,3,2,0,7,8,3,7,0,0,1,2,3,0,2,2,1
7284,151,166,190,176,138,33,28,244,269,369,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,1,0,0,13,11,14,15,14,1,0,4,2,6,2,3,2,1,8,1,2,3,1,4,0,3,1,2,5,5,3,0,5,13,11,5,9,2,1,6,3,6,6,8,2,3,4,6,18,9,6,2,5,9,6,8,7,11,2,7,11,21,27,21,12,0,2,44,54,36,49,41,3,0,21,29,26,27,18,1,1,15,10,17,12,3,3,3,2,2,6,6,2,2,1,1,1,4,3,0,0,1,3,0,2,2,3,1,0,0,1,1,0,0,3,2
