Station,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,January,February,March,April,May,June,July,August,September,October,November,December,Mon24,Tue24,Wed24,Thu24,Fri24,Sat24,Sun24,Mon1,Tue1,Wed1,Thu1,Fri1,Sat1,Sun1,Mon2,Tue2,Wed2,Thu2,Fri2,Sat2,Sun2,Mon3,Tue3,Wed3,Thu3,Fri3,Sat3,Sun3,Mon4,Tue4,Wed4,Thu4,Fri4,Sat4,Sun4,Mon5,Tue5,Wed5,Thu5,Fri5,Sat5,Sun5,Mon6,Tue6,Wed6,Thu6,Fri6,Sat6,Sun6,Mon7,Tue7,Wed7,Thu7,Fri7,Sat7,Sun7,Mon8,Tue8,Wed8,Thu8,Fri8,Sat8,Sun8,Mon9,Tue9,Wed9,Thu9,Fri9,Sat9,Sun9,Mon10,Tue10,Wed10,Thu10,Fri10,Sat10,Sun10,Mon11,Tue11,Wed11,Thu11,Fri11,Sat11,Sun11,Mon12,Tue12,Wed12,Thu12,Fri12,Sat12,Sun12,Mon13,Tue13,Wed13,Thu13,Fri13,Sat13,Sun13,Mon14,Tue14,Wed14,Thu14,Fri14,Sat14,Sun14,Mon15,Tue15,Wed15,Thu15,Fri15,Sat15,Sun15,Mon16,Tue16,Wed16,Thu16,Fri16,Sat16,Sun16,Mon17,Tue17,Wed17,Thu17,Fri17,Sat17,Sun17,Mon18,Tue18,Wed18,Thu18,Fri18,Sat18,Sun18,Mon19,Tue19,Wed19,Thu19,Fri19,Sat19,Sun19,Mon20,Tue20,Wed20,Thu20,Fri20,Sat20,Sun20,Mon21,Tue21,Wed21,Thu21,Fri21,Sat21,Sun21,Mon22,Tue22,Wed22,Thu22,Fri22,Sat22,Sun22,Mon23,Tue23,Wed23,Thu23,Fri23,Sat23,Sun23
7358,203,234,241,267,246,115,112,0,0,0,0,0,0,85,525,808,0,0,0,2,0,0,2,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,3,4,3,4,6,1,0,2,6,1,1,2,0,2,3,6,4,5,6,0,2,15,10,13,13,13,4,11,12,19,24,21,26,3,1,10,17,19,17,18,7,10,18,17,19,16,20,13,7,10,20,19,30,26,14,8,35,37,46,39,45,12,16,46,60,68,74,65,17,10,16,18,11,25,6,10,19,9,6,4,13,3,10,12,10,6,4,4,3,9,5,6,1,6,1,3,6,2,4,2,0,0,2,3,0,1,3,0,2,0,4,3
7359,21,20,21,14,21,32,34,0,0,0,0,0,0,4,90,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,1,1,0,0,2,3,3,1,2,0,0,1,0,2,0,0,0,0,4,1,2,0,0,1,2,0,0,1,0,5,2,4,0,5,1,2,0,4,3,1,2,0,0,0,2,0,0,1,4,0,0,0,6,5,0,0,1,2,1,2,0,0,0,0,2,11,4,0,0,0,1,1,1,1,2,3,0,5,5,3,2,1,1,1,0,1,5,2,4,2,2,3,1,1,4,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7360,43,50,64,74,74,62,60,0,0,0,0,0,0,35,171,221,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,3,6,0,0,0,7,8,8,7,4,1,1,10,15,19,19,24,2,1,8,9,5,8,13,3,2,1,1,3,3,6,6,3,2,0,1,3,3,5,8,2,1,0,3,0,5,9,1,0,1,4,5,4,2,1,0,0,2,3,4,7,1,1,5,3,2,3,6,1,2,0,2,1,4,4,2,1,8,1,1,6,4,0,4,2,0,2,6,2,1,2,0,6,1,3,2,1,2,4,0,2,3,2,1,2,2,4,1,1,2,1,0,1,1,2,1,1,1,0,1,2,2,2,0
7361,27,23,45,52,64,32,51,0,0,0,0,0,0,21,158,115,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,1,0,0,3,5,10,14,12,2,1,3,4,7,7,9,0,1,2,1,2,2,4,1,1,0,1,3,1,9,1,4,3,1,8,3,2,7,7,0,0,0,1,5,0,11,0,1,1,0,2,2,2,3,0,0,0,1,2,2,2,0,2,5,2,1,3,3,1,3,2,1,2,6,2,1,4,5,3,1,1,2,1,0,2,4,3,1,1,2,1,3,2,4,0,0,1,1,3,4,4,1,1,1,0,0,1,1,3,1,1,0,0,1,0,0
7362,78,85,82,89,93,86,69,0,0,0,0,0,0,43,215,324,0,0,0,0,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,1,1,1,0,1,2,5,8,6,9,1,1,19,15,25,14,22,1,3,8,8,5,5,12,3,5,3,4,6,5,3,6,11,3,6,2,6,5,8,6,2,4,2,5,7,10,6,7,1,1,4,4,6,2,10,3,6,1,1,17,4,1,2,3,7,5,9,4,2,5,6,4,2,3,5,2,8,1,1,2,4,2,8,7,4,5,2,2,3,1,4,4,3,4,5,8,1,5,2,5,2,0,1,2,2,2,6,2,4,4,3,1,3,2,4,4,1,3,0,1,1,4,3,1
7364,30,12,22,16,17,67,63,0,0,0,0,0,0,0,124,103,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,0,0,0,0,0,2,1,0,0,2,0,0,1,1,2,3,0,1,6,1,0,1,1,1,0,2,3,2,1,1,0,0,4,3,4,0,0,0,0,4,3,3,0,1,6,3,8,2,3,1,0,0,1,2,8,2,0,0,1,0,8,3,0,2,5,2,3,2,2,3,1,0,1,2,4,6,3,1,1,0,0,6,10,5,1,5,0,1,4,4,0,0,3,1,0,12,4,2,1,1,0,2,2,2,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7365,103,66,68,116,127,210,234,0,0,0,0,0,0,0,527,397,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,2,2,3,1,2,0,0,3,4,1,6,10,2,3,3,3,0,2,8,6,3,8,2,1,2,3,8,9,7,6,7,11,5,17,15,9,2,2,7,3,6,10,15,13,9,4,11,12,16,16,1,9,11,15,19,25,2,1,3,9,22,23,28,6,6,1,11,10,45,26,2,8,2,19,2,38,24,8,3,6,6,7,12,26,7,8,13,13,15,12,27,12,5,7,7,8,7,12,1,1,2,2,3,0,8,0,1,2,0,2,1,0,0,0,0,1,0,0,1
7366,195,239,268,329,310,257,226,0,0,0,0,0,0,0,941,883,0,0,0,0,1,0,1,1,5,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,1,0,13,13,8,8,6,3,6,13,20,15,31,30,1,2,58,71,87,92,95,4,4,11,13,32,47,54,15,10,7,7,10,7,11,11,16,7,3,9,4,12,28,15,11,6,13,14,7,23,29,2,11,14,9,15,22,27,9,5,3,8,5,23,21,10,10,7,16,9,21,24,7,10,5,10,12,25,19,10,12,19,21,13,15,20,11,20,15,22,11,17,12,5,11,16,9,12,18,3,9,15,6,16,7,6,8,5,4,3,9,1,11,2,2,3,3,2,1,3,3,3,0,3,1,8,4,1
7367,37,39,50,34,49,26,36,0,0,0,0,0,0,0,139,132,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,1,1,1,3,1,2,1,0,8,13,14,11,11,0,1,5,9,8,4,8,0,0,2,2,1,2,1,5,2,1,1,1,2,3,3,3,5,1,4,4,2,4,1,2,1,4,0,1,0,8,0,0,0,0,9,0,3,1,1,0,0,6,2,8,0,0,0,3,0,2,1,4,2,5,2,2,1,0,1,1,2,2,2,2,3,3,1,1,2,1,1,0,0,2,2,1,0,1,1,0,0,0,0,0,2,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0
7368,74,62,81,94,89,122,111,0,0,0,0,0,0,0,278,355,0,0,0,0,0,1,4,2,2,3,1,1,0,0,0,5,4,0,0,0,1,1,2,4,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,1,3,0,4,6,1,3,7,0,0,1,6,12,7,1,0,0,11,8,12,11,19,3,0,8,3,3,7,3,3,4,1,2,3,3,3,6,3,4,0,5,3,6,16,9,5,1,1,2,5,11,4,6,0,0,5,2,9,10,2,2,4,5,4,5,12,2,4,3,4,1,9,9,2,1,4,3,2,3,7,6,4,5,7,4,9,6,5,7,4,6,9,11,5,4,4,5,1,2,2,14,4,5,5,7,4,6,8,2,3,7,3,6,3,7,6,3,4,6,6,4,1,0,2,1,6,1,7,0
